Tue Nov 27 01:38:56 -02 2018
k=6 min=6 exploredSolutions=1 branchedSolutions=0 limitsChecked=47
k=6 min=6 exploredSolutions=100000 branchedSolutions=2245759 limitsChecked=1397215
k=6 min=6 exploredSolutions=200000 branchedSolutions=4491587 limitsChecked=2794415
k=6 min=6 exploredSolutions=300000 branchedSolutions=6735111 limitsChecked=4191615
k=6 min=6 exploredSolutions=400000 branchedSolutions=8979788 limitsChecked=5588815
k=6 min=6 exploredSolutions=500000 branchedSolutions=11224774 limitsChecked=6986023
k=6 min=6 exploredSolutions=600000 branchedSolutions=13470292 limitsChecked=8383215
k=6 min=6 exploredSolutions=700000 branchedSolutions=15713811 limitsChecked=9780413
k=6 min=6 exploredSolutions=800000 branchedSolutions=17957346 limitsChecked=11177617
k=6 min=6 exploredSolutions=900000 branchedSolutions=20200870 limitsChecked=12574817
k=6 min=6 exploredSolutions=1000000 branchedSolutions=22444411 limitsChecked=13972023
k=6 min=6 exploredSolutions=1100000 branchedSolutions=24687913 limitsChecked=15369215
k=6 min=6 exploredSolutions=1200000 branchedSolutions=26933748 limitsChecked=16766417
k=6 min=6 exploredSolutions=1300000 branchedSolutions=29179298 limitsChecked=18163621
k=6 min=6 exploredSolutions=1400000 branchedSolutions=31423111 limitsChecked=19560821
k=6 min=6 exploredSolutions=1500000 branchedSolutions=33667223 limitsChecked=20958025
k=6 min=6 exploredSolutions=1600000 branchedSolutions=35912458 limitsChecked=22355219
k=6 min=6 exploredSolutions=1700000 branchedSolutions=38158281 limitsChecked=23752417
k=6 min=6 exploredSolutions=1800000 branchedSolutions=40401810 limitsChecked=25149619
k=6 min=6 exploredSolutions=1900000 branchedSolutions=42645346 limitsChecked=26546823
k=6 min=6 exploredSolutions=2000000 branchedSolutions=44888881 limitsChecked=27944027
k=6 min=6 exploredSolutions=2100000 branchedSolutions=47132378 limitsChecked=29341217
k=6 min=6 exploredSolutions=2200000 branchedSolutions=49375913 limitsChecked=30738421
k=6 min=6 exploredSolutions=2300000 branchedSolutions=51621764 limitsChecked=32135629
k=6 min=6 exploredSolutions=2400000 branchedSolutions=53866424 limitsChecked=33532823
k=6 min=6 exploredSolutions=2500000 branchedSolutions=56111111 limitsChecked=34930027
k=6 min=6 exploredSolutions=2600000 branchedSolutions=58354623 limitsChecked=36327223
k=6 min=6 exploredSolutions=2700000 branchedSolutions=60600453 limitsChecked=37724423
k=6 min=6 exploredSolutions=2800000 branchedSolutions=62846292 limitsChecked=39121627
k=6 min=6 exploredSolutions=2900000 branchedSolutions=65089810 limitsChecked=40518825
k=6 min=6 exploredSolutions=3000000 branchedSolutions=67333351 limitsChecked=41916031
k=6 min=6 exploredSolutions=3100000 branchedSolutions=69576853 limitsChecked=43313223
k=6 min=6 exploredSolutions=3200000 branchedSolutions=71820389 limitsChecked=44710427
k=6 min=6 exploredSolutions=3300000 branchedSolutions=74063913 limitsChecked=46107627
k=6 min=6 exploredSolutions=3400000 branchedSolutions=76307438 limitsChecked=47504827
k=6 min=6 exploredSolutions=3500000 branchedSolutions=78550978 limitsChecked=48902033
k=6 min=6 exploredSolutions=3600000 branchedSolutions=80794480 limitsChecked=50299225
k=6 min=6 exploredSolutions=3700000 branchedSolutions=83038011 limitsChecked=51696427
k=6 min=6 exploredSolutions=3800000 branchedSolutions=85281546 limitsChecked=53093631
k=6 min=6 exploredSolutions=3900000 branchedSolutions=87525070 limitsChecked=54490831
k=6 min=6 exploredSolutions=4000000 branchedSolutions=89768599 limitsChecked=55888033
k=6 min=6 exploredSolutions=4100000 branchedSolutions=92012118 limitsChecked=57285231
k=6 min=6 exploredSolutions=4200000 branchedSolutions=94255638 limitsChecked=58682429
k=6 min=6 exploredSolutions=4300000 branchedSolutions=96499172 limitsChecked=60079633
k=6 min=6 exploredSolutions=4400000 branchedSolutions=98742691 limitsChecked=61476831
k=6 min=6 exploredSolutions=4500000 branchedSolutions=100987385 limitsChecked=62874037
k=6 min=6 exploredSolutions=4600000 branchedSolutions=103232061 limitsChecked=64271237
k=6 min=6 exploredSolutions=4700000 branchedSolutions=105477879 limitsChecked=65668433
k=6 min=6 exploredSolutions=4800000 branchedSolutions=107721408 limitsChecked=67065635
k=6 min=6 exploredSolutions=4900000 branchedSolutions=109966666 limitsChecked=68462837
k=6 min=6 exploredSolutions=5000000 branchedSolutions=112211929 limitsChecked=69860041
k=6 min=6 exploredSolutions=5100000 branchedSolutions=114456589 limitsChecked=71257235
k=6 min=6 exploredSolutions=5200000 branchedSolutions=116700113 limitsChecked=72654435
k=6 min=6 exploredSolutions=5300000 branchedSolutions=118943648 limitsChecked=74051639
k=6 min=6 exploredSolutions=5400000 branchedSolutions=121187162 limitsChecked=75448835
k=6 min=6 exploredSolutions=5500000 branchedSolutions=123430697 limitsChecked=76846039
k=6 min=6 exploredSolutions=5600000 branchedSolutions=125674532 limitsChecked=78243247
k=6 min=6 exploredSolutions=5700000 branchedSolutions=127920045 limitsChecked=79640437
k=6 min=6 exploredSolutions=5800000 branchedSolutions=130165878 limitsChecked=81037639
